workdays,days_per_week,hours_per_week,is_remote,is_flexible
شنبه تا چهارشنبه 8.30 تا 18 پنجشنبه ها 8.30 تا 15,6,-84,0,0
شنبه تا چهارشنبه 8:30 تا 17 و پنج شنبه 8:30 تا 14,5,56.5,0,0
شنبه تا چهارشنبه 9-17 پنج شنبه 9-13,,,0,0
شنبه الی پنج شنبه  / پنج شنبه ها یک هفته در میان تعطیل است,,,0,0
شنبه الی چهارشنبه 08:00 الی 17:00 پنجشنبه الی 12:00,6,63,0,0
شنبه تا چهارشنبه 9 تا 17 پنج شنبه ها تا 12,5,48,0,0
شنبه تا چهارشنبه 7:30 - 17,,,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
شنبه تا چهارشنبه  8 الی 17,5,54,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 8 الی 17:20,5,56,0,0
شنبه تا چهارشنبه 8 الی 17:20,5,56,0,0
شنبه تا جمعه شیفت در گردش,,,0,0
شنبه تا چهارشنبه ها 7:50 تا 16:40، پنج شنبه 7:50 تا 13:50 (پنج شنبه ها یک هفته در میان تعطیل)، جمعه ها و تعطیلات رسمی تعطیل,5,59,0,0
شنبه تا چهارشنبه 8:30 الی 17:30 پنج شنبه 8:30 الی 13,5,54,0,0
شنبه تا چهارشنبه  8 الی 17,5,54,0,0
شنبه تا چهارشنبه 7:30 لغایت 16:30 پنجشنبه تعطیل,,,0,0
شنبه الی چهارشنبه ساعت 8:15 الی 17,5,52.5,0,0
شنبه تا چهارشنبه 8 الی 19,5,66,0,0
شنبه الی چهارشنبه 8 تا 17 پنج شنبه 8تا12:30,5,54,0,0
شنبه تا چهارشنبه 8:30 تا 14,5,33,0,0
شنبه تا پنجشنبه,,,0,0
22 روز کار 8 روز استراحت,,,0,0
شنبه تا چهارشنبه 8:30 الی 17 - پنجشنبه ها 8:30 الی 13,6,60,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تا چهارشنبه  ساعت 8 الی 17,5,54,0,0
شنبه تا چهارشنبه ساعت 7:45 تا 16:30 پنج شنبه 7:45 تا 12:30,5,52.5,0,0
"از شنبه تا چهار شنبه از 8:00 صبح تا 17:00 , پنجشنبه ها یک هفته در میان 8:00 تا 13:00",2,10,0,0
شنبه تا چهارشنبه از 8 تا 17:15,5,55.5,0,0
شنبه تا چهارشنبه از ساعت 8 الی 17,5,54,0,0
شنبه تا سه شنبه از ساعت 8:00 تا 17:30، چهارشنبه ها تا 16:30 پنجشنبه ها تعطیل,4,47.5,0,0
طبق روال پروژه,,,0,0
Saturday - Wednesday ( 8 -17:15 ) or (9-18:15),,,0,0
شنبه تا چهارشنبه 18-9 پنجشنبه 14-9,,,0,0
شنبه تا چهار شنبه 9 تا 5 / پنج شنبه 9 تا 13,1,-4,0,0
شنبه تا چهارشنبه 09:00الی 17:00،  و پنج شنبه ها  تا 13:00 (با پرداخت اضافه کاری),5,48,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
شنبه تا پنج شنبه 8 و نیم تا 14 و نیم,,,0,0
شنبه تا چهارشنبه 8 الی 17,5,54,0,0
,,,0,0
شنبه تا پنجشنبه 8 صبح تا 15,,,0,0
شنبه الی چهار شنبه ساعت 9 الی 18 - پنج شنبه ساعت 9 الی13,1,13,0,0
شنبه الی سه شنبه 8 الی 17- چهارشنبه 8 الی 16,5,61,0,0
شنبه تا چهارشنبه  7 الی 18,5,66,0,0
شنبه تا چهارشنبه از ساعت 7:15 الی 16,5,52.5,0,0
شنبه تا پنج شنبه از ساعت 8:30 تا 17:30,1,9,0,0
انتخابی,,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 07.30 الی 17.00,5,-78,0,0
شنبه تا پنجشنبه 8 الی 16,6,56,0,0
9الی17,,,0,0
شنبه تا چهارشنبه 8:30 تا 17:00 پنج شنبه ها یک هفته در میان 8:30 تا 13:30,5,51,0,0
شنبه تا سه شنبه 7:30 الی 16:30  چهارشنبه ها 7:30 الی 15:30,5,54,0,0
شنبه تا چهارشنبه 16:00-8:00,,,0,0
شنبه تا چهارشنبه 8 - 17,,,0,0
شنبه تا چهارشنبه از ساعت :8 تا 18 - پنج شنبه و جمعه تعطیل,5,60,0,0
شنبه تا چهارشنبه 8:30 الی 17 پنجشنبه تا 14,6,59.5,0,0
شنبه تا پنج شنبه- شنبه تا چهارشنبه 7:30 تا 17 و پنج شنبه ها تا 14.,5,57,0,0
شنبه تا پنحشنبه,,,0,0
شنبه تا پنجشنبه از ساعت 9 الی17,6,56,0,0
شنبه تا  چهارشنبه : از 8 تا 17. پنجشنبه ها: تعطیل                                                     .,6,63,0,0
17 الی 21,,,0,0
شنبه تا چهارشنبه 8:30 الی 17:30,5,54,0,0
ندارد,,,0,0
شنبه تا چهارشنبه از 8 تا 18 پنجشنبه 8 تا 16,6,70,0,0
شنبه تا چهارشنبه ساعت 8:15 الی 17:20,5,54.5,0,0
شنبه تا چهارشنبه 8 صبح الی 17,,,0,0
ساعت کاری : شنبه تا چهارشنبه از ساعت 8:30 الی 17:30  و پنج شنبه 8:30 الی13:30,5,59,0,0
شنبه تا چهارشنبه ساعت 9 الی 17 عصر روز های پنج شنبه دورکار,5,48,0,0
شنبه تا چهارشنبه 7:30 تا 16:30,5,54,0,0
11 تا 19,,,0,0
شنبه تا چهارشنبه 8:30 الی 17:30,5,54,0,0
تمام وقت,,,0,0
8:30 الی 16:30,,,0,0
شنبه تا چهارشنبه 8الی17,5,54,0,0
دورکار و منعطف,,,0,1
شنبه تا چهارشنبه 8 تا 17 - پنجشنبه 8 تا 13,6,64,0,0
شنبه تا چهارشنبه 7:00 تا 19:00 و پنجشنبه 7:00 تا 15:00 (ساعت کاری 15 تا 19 اضافه کاری  است و با حضور کامل، در هفته 24 ساعت اضافه کاری لحاظ میگردد  ),6,88,0,0
شنبه الی پنجشنبه,,,0,0
شنبه تا چهارشنبه - ساعت 7:45 الی 17,,,0,0
شنبه الی چهارشنبه 7:30 الی 16:50,5,56,0,0
شنبه تا چهارشنبه ساعت   7:30 الی 17,5,57,0,0
شنبه تا چهارشنبه 7 الی 15:30,5,51,0,0
شنبه تا چهارشنبه 8:15 الی 17:30,5,55.5,0,0
شنبه تا چهار شنبه 7الی 16از16الی19سه ساعت اضافه کاری اجباری پنجشنبه 7الی 14,2,18,0,0
8 الی 17,,,0,0
انتخابی,,,0,0
شنبه تا چهارشنبه 8:30 الی 16:30,5,48,0,0
شنبه تا پنجشنبه 7 صبح تا 19 عصر,,,0,0
شنبه تا چهارشنبه  07:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه 8 الی 17 و پنجشنبه 8 الی 13,6,64,0,0
از 12 ظهر الی 20,,,0,0
همه روزه,,,0,0
تمام وقت,,,0,0
شنبه تا چهارشنبه 9 تا 18,5,54,0,0
توافقی,,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 9 تا 17، پنجشنبه 9 تا 13 / همراه با شیفت,6,56,0,0
شنبه تا چهارشنبه ساعت 9 تا 18 عصر ، پنج شنبه 9 تا 15,5,60,0,0
شنبه الی چهارشنبه 8 الی17:30,5,57,0,0
دلخواه,,,0,0
10 تا 18,,,0,0
شنبه تا پنج شنبه 9 تا 19,1,10,0,0
شنبه تا چهارشنبه 8:30 تا 17، پنجشنبه 8 تا 12,6,59,0,0
شنبه تا چهارشنبه 8 الی 17 پنج شنبه ها یک هفته درمیان 8الی 12,5,54,0,0
Sat. to Wed. 08:00 to 17:00,,,0,0
یکشنبه تا پنج شنبه 8 تا 17,2,18,0,0
شنبه تا چهارشنبه 8-17,,,0,0
توافقی,,,0,0
44 ساعت در هفته,,,0,0
8 الی 17 شنبه تا چهارشنبه,5,54,0,0
شنبه تا پنج شنبه 8 الی 16:30,1,8.5,0,0
شنبه تا چهارشنبه از ساعت 7:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه 8:00 الی 17:00 پنج شنبه 8:00 الی 13:00,5,54,0,0
شنبه الی چهارشنبه 8 الی 17:30- پنج شنبه 8 الی 13,5,62,0,0
8 الی 17 شنبه الی چهارشنبه,5,54,0,0
شنبه تا جمعه 10:30 تا 21:30,7,88,0,0
شنبه تا 4 شنبه 9 تا 18  و پنج شنبه 9 تا 13,1,13,0,0
شنبه الی چهارشنبه 7 الی 16.30,5,54,0,0
شنبه تا پنج شنبه 7:30 تا 15,1,7.5,0,0
شنبه تا چهارشنبه ساعت 9 تا 16,5,42,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تا چهارشنبه ، 8 الی 16:30,,,0,0
شنبه تا جمعه- یک روز در هفته آف و جمعه ها یک هفته در میان,,,0,0
شنبه تا چهارشنبه: 8:30 الی 16:30  پنج شنبه: 8:30 الی 12:30,5,48,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا پنجشنبه,,,0,0
انتخابی,,,0,0
شنبه تا چهارشنبه 8.30 الی 17 و پنجشنبه یک هفته در میان از ساعت الی 8.30 الی 13,6,-112,0,0
شنبه تا چهارشنبه 8:30 تا 17:00   - پنج شنبه : 8:30 تا 12:30,5,55,0,0
هر روز  و ساعت کاری منعطف,,,0,1
شنبه تا چهارشنبه 7:30 - 16:00 ، پنجشنبه ها 7:30 - 12:00,,,0,0
شنبه تا چهارشنبه  08:30 الی 17:00 - پنجشبنه  08:30 الی 12:00,5,51,0,0
شنبه تا چهاشنبه - 8:30 و 17:30,,,0,0
شنبه تاپنج شنبه 8:45 الی 18,1,9.25,0,0
شنبه تا چهارشنبه,,,0,0
8:30 الی 17 پنج شنبه ها 8:30 الی 13,1,8.5,0,0
شنبه تا چهارشنبه 8:30 تا 16:30 پنج شنبه 8:30 تا 13,5,48,0,0
دلخواه,,,0,0
شنبه تا چهارشنبه - 8:30 الی 17:30,,,0,0
شنبه تا پنجشنبه 8 تا 17,6,63,0,0
شنبه تا چهارشنبه 8 الی 17,5,54,0,0
شنبه تا سه شنبه 8:00 تا 17:00 چهارشنبه 8:00 تا 16:00,5,54,0,0
شنبه تا چهارشنبه 7:45 تا 16:30 پنجشنبه تا 12,6,61.25,0,0
شنبه تا چهارشنبه 9 الی 16,5,42,0,0
شنبه تا چهارشنبه 8تا16 و پنجشنبه 8تا12,6,56,0,0
07:30 الی 15:30,,,0,0
شنبه تا پنجشنه از ساعت 7 الی 19 در صورت نیاز اضافه کاری اجباری,1,12,0,0
شنبه  الی چهارشنبه  8:30 الی 16:30 پنج شنبه ها 8:30 الی 12:30,5,48,0,0
شنبه تا چهارشنبه 8 الی 17,5,54,0,0
ساعت 9 تا 13:30 و 17 تا 21 (پنج شنبه ها فقط شیفت صبح),1,4,0,0
اداری,,,0,0
شنبه الی چهارشنبه شنبه 08:30 الی 17- پنج شنبه یک هفته در میان 08:30 تا 13,5,55.5,0,0
شنبه تا چهارشنبه,,,0,0
24H/7D,,,0,0
شنبه تا چهارشنبه 8:30 الی 17 / پنجشنبه ها 8:30 الی 12:30,6,59.5,0,0
شنبه تا چهارشنبه ساعت 11 تا18,5,42,0,0
شنبه تا چهارشنبه 8 تا 16:30,5,51,0,0
Saturday to Wednesday From 8 to 16:45,,,0,0
شنبه تا پنجشنبه 8 تا 17,6,63,0,0
شنبه تا پنج شنبه 8-16,,,0,0
شنبه تا چهارشنبه 8:30 تا16:30/ پنج شنبه 8:30 تا 13,5,48,0,0
کل ایام هفته - طبق قانون کار,,,0,0
هر روز  و ساعت کاری منعطف,,,0,1
روزها و ساعت کاری: شنبه تا چهارشنبه از ساعت 8:00 الی 17:00 و پنج شنبه ها یک هفته در میان تعطیل می باشد.,5,54,0,0
"•	شنبه تا چهارشنبه 8 الی 17",5,54,0,0
شنبه الی چهارشنبه 8 الی 17,5,54,0,0
شنبه تا چهارشنبه 9 تا 17 پنج شنبه 9 تا 12,5,48,0,0
8 الی 16-پنج شنبه ها تا ساعت 13,,,0,0
شنبه تا چهار شنبه 7:30 الی 17,1,9.5,0,0
17 تا 2 بامداد شنبه تا چهار شنبه,1,-15,0,0
شنبه تا چهارشنبه 8:30-17:30 و پنج شنبه 8:30-13:30,,,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
ندارد,,,0,0
شنبه تا چهارشنبه 8 تا 16.00,5,48,0,0
هر روز 9 تا 16,,,0,0
شنبه تا چهارشنبه 8 الی 17,5,54,0,0
شنبه تا چهارشنبه 9 الی 17,5,48,0,0
شنبه تا چهارشنبه : 8:30 تا17:00- پنجشنبه :8:30 تا 12:30,6,59,0,0
8 تا 17,,,0,0
شنبه تا چهارشنبه 8 الی 18 پنجشبه و جمعه تعطیل,5,60,0,0
شنبه تا چهارشنبه 8 الی 17 - پنجشنبه 8 الی 12,6,62,0,0
شنبه تا پنجشنبه,,,0,0
Saturday to Wednesday 09:00 - 18:00,,,0,0
ندارد,,,0,0
شنبه الی چهارشنبه,,,0,0
شنبه تا پنج شنبه ساعت 8:30 الی 16:30,1,8,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه 9_17 و پنج شنبه 9_14,,,0,0
شنبه تا چهارشنبه 8 الی 16:30 (پنچ شنبه 8 الی 14:30),5,51,0,0
دلخواه,,,0,0
Saturday to Wednesday 8:30 - 17:30,,,0,0
شنبه تا جمعه 11 تا 24,7,104,0,0
7:30 تا 16:30,,,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
سه شیفت 8 ساعته,,,0,0
شنبه تا پنج شنبه,,,0,0
از ساعت 9 الی18,,,0,0
تمام وقت,,,0,0
شنبه تا پنج شنبه ساعت 11 تا 18,1,7,0,0
تمام وقت,,,0,0
شنبه تا چهارشنه، 8 تا 17؛ پنجشنبه ها نیمه وقت,2,18,0,0
شنبه الی پنجشنبه,,,0,0
شنبه تا پنج شنبه ساعت 7 الی 17/00,1,10,0,0
شنبه تا چهارشنبه 8 الی 16:30- پنج شنبه 8 الی 12,5,55,0,0
شنبه تا چهارشنبه 7 صبح الی 16:20 بعد از ظهر,,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهار شنبه از 9 تا 18 به استثنای تعطیلی های رسمی,1,9,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 8:30 الی 17 پنجشنبه تا 15,6,59.5,0,0
شنبه تا چهارشنبه 8 الی 17,5,54,0,0
8 تا 17شنبه تا چهارشنبه,5,54,0,0
روزهای کاری: شنبه تا چهارشنبه، از ساعت 8:30 الی 17:45,,,0,0
شنبه تا چهارشنبه 08:30 تا 17 و پنج شنبه 8:30 تا 12:30,5,55,0,0
شنبه تا چهارشنبه ساعت 8 الی 15,5,42,0,0
شنبه تا 5 شنبه,,,0,0
شنبه تا چهارشنبه از ساعت 9 تا ساعت17 و پنجشنبه ها از 9 تا 15,2,12,0,0
شنبه تا چهار شنبه 9 تا 18 پنجشنبه 9 تا 14,2,18,0,0
به صورت حضوری  توافق میگردد,,,0,0
شنبه تا چهارشنبه ساعت 8:30-17:00,,,0,0
شنبه تا چهارشنبه از ساعت 8 تا 18,5,60,0,0
شنبه تا چهارشنبه ، 8 الی 16:30,,,0,0
10 تا 22,,,0,0
شنبه تا چهارشنبه 07:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه؛ از ساعت 7:30 الی 16:20 و 8:30 تا 17:20 (یک ساعت کاری شناور),5,53,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
6 روز هفته,,,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
شنبه تا چهارشنبه 8 تا 17 - پنج شنبه 8 تا 13,5,59,0,0
شنبه تا چهارشنبه 9:30 الی 17:30 و پنجشنبه ها 9:30 تا 14,6,57,0,0
شنبه تا چهارشنبه 8:30 تا 17:30,5,54,0,0
شنبه تا چهارشنبه 9-18 پنجشنبه 9-14,,,0,0
Saturday to Wednesday,,,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
منعطف,,,0,1
شنبه تا چهارشنبه,,,0,0
5 روز کاری، روزی 7 ساعت,,,0,0
شنبه تا پنج شنبه 9 تا 17,1,8,0,0
شنبه تا چهارشنبه 8:30الی 17:00 ، پنج شنبه ها 8:30 الی 12:30,5,55,0,0
شنبه تا چهارشنبه 07:30 لغایت 15:00 پنج شنبه 07:30 لغایت 14:30,,,0,0
7:30 تا 16:30,,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه -چهارشنبه,,,0,0
Saturday to Wednesday 09:00 - 18:00,,,0,0
شنبه تا چهارشنبه 9 الی 17:15-پنج شنبه ها 9 الی 13:15,5,53.75,0,0
شنبه تا چهارشنبه 9 الی 17 پنجشنبه 9 الی 14,6,56,0,0
7:30 تا 16:30 شنبه تا چهارشنبه,5,54,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا پنج شنبه 8-17,,,0,0
شنبه تا چهارشنبه 08:15 لغایت 16:45 (پنجشنبه ها یک هفته در میان تا ساعت 16:00),,,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تا چهارشنبه 9 الی  18,5,54,0,0
شنبه تا چهارشنبه ساعت 8:00 الی 17:00 (پنجشنبه ها یک هفته تعطیل یک هفته کاری),6,63,0,0
شنبه تا چهارشنبه ساعت 8:00 الی 17:00,5,54,0,0
شنبه تاچهارشنبه 8 تا 17 و پنج شنبه ها 8 الی 12,5,58,0,0
از شنبه تا چهارشنبه از 8 الی  17:10 و پنجشنبه 7:30 تا 16,6,72,0,0
شنبه تا چهارشنبه7.30الی 17,5,-78,0,0
شنبه تا چهارشنبه ساعت :8:00 الی 17:30,5,57,0,0
شنبه تا چهارشنبه 8:30 الی 17:00 و پنج شنبه ها تا ساعت 13:00,5,51,0,0
شنبه تا چهارشنبه 8-17,,,0,0
شنبه تا چهارشنبه از ساعت 8:30 الی 17:20,5,53,0,0
شنبه تا چهارشنبه 8:30 تا 17:30 و پنجشنبه ها یک هفته درمیان تعطیل,5,54,0,0
شنبه تا چهارشنبه 7 تا 16:15 / 8:15 تا 17:30,5,55.5,0,0
شیفت صبح : شنبه الی چهارشنبه، (صبح 8 الی16:45),,,0,0
شنبه تا سه شنبه 08:00 الی 17:00 و چهارشنبه 08:00 الی 16:00,5,61,0,0
تصمیم گیری در مصاحبه اولیه,,,0,0
شنبه تا چهارشنبه 8 الی 16:30 - پنج شنبه 8 الی 12,5,55,0,0
شنبه تا چهارشنبه 8:30 تا 17:30 - پنجشنبه 8:30 تا 13,6,63,0,0
شنبه تا پنجشنبه ساعت 10 تا 18 عصر,6,56,0,0
اداری,,,0,0
Sat - Wed 8:00 AM to 17;00 PM,,,0,0
از شنبه تا چهارشنبه 8:30 الی 17 - پنج شنبه 8:30 الی 12:30,5,55,0,0
شنبه تا پنج شنبه,,,0,0
شنبه تاچهارشنبه وپنجشنبه نیمه وقت,,,0,0
شنبه تا چهارشنبه از ساعت 8 تا 17,5,54,0,0
شنبه تا چهارشنبه از 8 الی 17:30,5,57,0,0
شنبه تا چهارشنبه - ساعت کاری 7:30 الی 16,,,0,0
شنبه تا چهارشنبه 7:30 الی 16:30,5,54,0,0
شنبه تا چهارشنبه 09:00 الی 13:00 و 16:00 الی 20:00 . پنجشنبه 9:00 الی 13:00,6,32,0,0
Saturday - Wednesday,,,0,0
روزانه,,,0,0
کل ایام هفته,,,0,0
شنبه تا چهارشنبه 7:30 تا 15 - پنج شنبه ها 7:30 تا 13:00,5,50.5,0,0
شنبه تا چهارشنبه 8:30 الی 17 - پنجشنبه 8:30 الی 13,6,60,0,0
شنبه الی چهارشنبه از ساعت 7:45 الی 17:00,5,55.5,0,0
شنبه تا چهارشنبه 8 تا 17 و پنجشنبه 8 تا 13,6,64,0,0
شنبه تا چهارشنبه 8 الی 17 ، پنجشنبه 8 الی 13,6,64,0,0
شنبه تا چهارشنبه 8 تا 17- پنج شنبه 8 تا 13,5,59,0,0
شنبه تا چهارشنبه 07:45 تا 16:30 و پنجشنبه اضافه کاری,5,52.5,0,0
شنبه تا چهارشنبه 8 تا 16:30 پنجشنبه 8 تا 13,6,59.5,0,0
: شنبه تا چهارشنبه 9:30 الی 17:30 ، پنجشنبه ها 9:30 تا 14:30,6,58,0,0
از شنبه الی چهارشنبه 8 صبح الی 16:30 پنجشنبه 8 صبح الی 12,,,0,0
8 تا 17,,,0,0
یکشنبه تا پنجشنبه ساعت 8:30 الی 17:15,6,61.25,0,0
شنبه تا چهارشنبه:8:15 لغایت 17:30,,,0,0
ساعت کاری به صورت توافقی میباشد,,,0,0
شنبه تا سه شنبه - از ساعت 8 الی 17 و چهارشنبه ساعت 8 الی 16,2,16,0,0
توافقی,,,0,0
شنبه لغایت چهارشنبه 7-16,,,0,0
شنبه تا چهارشنبه:8:00 تا 16:30 پنجشنبه:8:00 تا 13:00,6,59.5,0,0
شنبه تا چهارشنبه 8 تا 17 پنحشنبه تا ظهر,5,54,0,0
شنبه تا چهارشنبه,,,0,0
یکشنبه الی پنجشنبه,,,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
شنبه تا پنج شنبه 7 الی 19,1,12,0,0
شنبه تا پنجشنبه 8 الی 16,6,56,0,0
شنبه تا چهارشنبه,,,0,0
چهارشیفت,,,0,0
دلخواه,,,0,0
شنبه ت پنجشنبه,,,0,0
شنبه تا چهارشنبه 8 تا 16,5,48,0,0
شنبه تا چهارشنبه (17:30 - 8),,,0,0
شنبه تا چهارشنبه 8 تا 16 و پنجشنبه ها 8 تا 12,6,56,0,0
شنبه تا چهارشنبه 8:00 الی 17:00,5,54,0,0
,,,0,0
شنبه الی سه شنبه 8 الی 17- چهارشنبه 8 الی 16,5,61,0,0
شنبه تا چهارشنبه ساعت 10تا15,5,30,0,0
Saturday to Wednesday,,,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه 9 صبح تا 17:30 بعد از ظهر پنجشنبه تا ساعت 13,,,0,0
شنبه تا چهارشنبه - 9  الی  18,,,0,0
شیفت های چرخشی,,,0,0
شنبه تا چهارشنبه : از ساعت 08:00 لغایت 17:00,,,0,0
ساعت موظفی: روزهای شنبه تا چهارشنبه ساعت 8 الی 17 و پنجشنبه ساعت 8 الی 15.,6,68,0,0
8-16:30 و پنج شنبه ها 8-12:30,,,0,0
شنبه تا چهارشنبه 07:30 لغایت 15:00 پنج شنبه 07:30 لغایت 14:30,,,0,0
شنبه تا چهارشنبه 8 الی 16,5,48,0,0
شنبه تا چهارشنبه ساعت 9 تا 17 و پنجشنبه ساعت 9تا 13,6,56,0,0
8:30 الی 16:30 شنبه تا چهارشنبه، پنجشنبه 9 الی 13,6,56,0,0
شنبه تا چهارشنبه 8:00 الی 16:45 پنجشنبه 8:00 الی 12:00,6,61.25,0,0
شنبه تا چهارشنبه  ساعت 8 صبح لغایت 17 بعدازظهر,,,0,0
Saturday to Wednesday from 9-18,,,0,0
دلخواه,,,0,0
شنبه تا پنج شنبه از ساعت 9 الی 17,1,8,0,0
شنبه تا چهارشنبه ساعت 8 تا 17,5,54,0,0
ساعت اداری,,,0,0
شنبه تا چهارشنبه 8 تا 17 پنجشنبه 8 تا 12,6,63,0,0
شنبه تا چهارشنبه,,,0,0
شنبه تا چهارشنبه 8 تا 16:45 و پنج شنبه 8 تا 12:15,5,56.75,0,0
شنبه تا چهارشنبه 9 تا 17 و پنجشنبه 10 تا 13,6,54,0,0
شنبه تا چهارشنبه 7:30 الی 17,5,57,0,0
شنبه تا چهارشنبه 7:30 الی 16:15 (با یک ساعت شناوری),5,52.5,0,0
شنبه تا چهار شنبه ساعت 8:00تا 17,1,9,0,0
دلخواه,,,0,0
شنبه تا چهارشنبه 7:45 تا 17:00 و پنج شنبه ها تعطیل,5,55.5,0,0
ساعتی توافقی,,,0,0
شنبه تا چهارشنبه 8:30 الی 17:30 پنج شنبه  8:30 الی 13:00,5,54,0,0
شنبه تا چهارشنبه 8 الی 17,5,54,0,0
شنبه تا چهارشنبه ساعت 9 تا 16,5,42,0,0
شنبه تا چهارشنبه 9 تا18,5,54,0,0
شنبه الی چهارشنبه 9:30 الی 18:30,5,54,0,0
شنبه تا پنجشنبه 8:30 الی 17,6,59.5,0,0
شنبه تا پنج شنبه 9 الی 17,1,8,0,0
شنبه تا چهارشنبه از ساعت 08:30 تا ساعت 17:00 پنجشنبه ها تا ساعت 13:30,,,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنبه 7-17:30 - پنج شنبه : 7-12، پنجشنبه ها بصورت اضافه کاری محسوب می شود.,,,0,0
شیفت شب,,,0,0
شنبه تا چهارشنبه (17:00 - 8:00),,,0,0
شنبه تا چهارشنبه ساعت 8 تا 16 - پنج شنبه ساعت 8 تا 13,5,53,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا چهارشنیه 8 تا 17,1,9,0,0
شنبه تا چهارشنبه 8:00 - 17:00 و پنج شنبه,,,0,0
شنبه تا چهارشنبه از 8 الی 17 پنج شنبه 8 الی 14,5,54,0,0
شنبه تا چهار شنبه 8 صبح الی 17 / پنج شنبه تعطیل,,,0,0
شنبه تا چهارشنبه 7:00 تا 15:45,5,52.5,0,0
,,,0,0
7:30 الی 16:30,,,0,0
شنبه تا چهارشنبه ساعت 9:00 الی 18:00,5,54,0,0
شنبه تا چهارشنبه ساعت 7 صبح الی 16,,,0,0
شنبه تا چهارشنبه 8:30 تا 17:30 و پنج شنبه تا 12,5,54,0,0
شنبه تا چهارشنبه  08:00  الی 16:30 - پنجشنبه 08:00 الی 12:30,6,60,0,0
انتخابی,,,0,0
,,,0,0
شنبه تا پنجشنبه 8 الی 16,6,56,0,0
شنبه تا پنجشنبه,,,0,0
شنبه تا پنج شنبه (روزهای کاری),,,0,0
شنبه تا چهارشنبه 8 تا 17 پنجشنبه 8 تا 13,6,63,0,0
ندارد,,,0,0
شنبه الی چهارشنبه 8-17:30,,,0,0
شنبه تا چهارشنبه، 8 تا 16:30 و پنج شنبه، 8 تا 12,,,0,0
شیفتی,,,0,0
شنبه الی چهارشنبه 7:30 الی 16:30,5,54,0,0
شیفت چرخشی,,,0,0
شنبه تا چهارشنبه 9:00 الی 17:30 پنج شنبه 9:00 الی 13:00,5,51,0,0
روزهای شنبه الی پنجشنبه,,,0,0
شنبه تا چهارشنبه 8 تا 17,5,54,0,0
شنبه تا چهارشنبه 8 تا 16:30,5,51,0,0
شنبه تا پنج شنبه 8-17,,,0,0
شنبه تا چهارشنبه 7 تا 4 با یک ساعت شناوری,5,-18,0,0
پروژه 7 روزه,,,0,0
شنبه تا چهارشنبه ساعت 8 الی 17:30,5,57,0,0
شیفت عصر : روزهای شنبه تا چهارشنبه از ساعت 08:30 لغایت 17:00 و روزهای پنج شنبه از ساعت 08:30 لغایت 12:30,,,0,0
شنبه تا چهارشنبه از ساعت 08:00 الی 16:30 و پنجشنبه ها از ساعت 08:00 الی 12:00,6,59,0,0
سه روز در هفته شیفت صبح و سه روز دیگر شب,,,0,0
شنبه الی چهارشنبه 8 الی 17 پنج شنبه 8 الی 12,5,54,0,0
شنبه تا چهارشنبه 7:45 الی 16:30,5,52.5,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
شنبه تا چهارشنبه 9 تا 18 ---پنج شنبه 9 تا 14,5,59,0,0
شنبه تا پنجشنبه 7  الی 15 (این شغل دارای اضافه کار است),6,56,0,0
شنبه تا سه شنبه 8 - 17 ، چهارشنبه 8 - 16,,,0,0
شنبه تا 4شنبه ساعت 9 تا 18 - پنج شنبه ساعت 9 تا 13,1,13,0,0
شنبه تا چهارشنبه: 8 الی 16- پنجشنبه: 8 الی 12,6,56,0,0
شنبه تا چهارشنبه 11 تا 18,5,42,0,0
شنبه تا چهارشنبه 18-9 پنجشنبه 15-9,,,0,0
8.30تا 17,,,0,0
